,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,26,6.0,358.3,438.8,81.7,6820.5,2231.5,151.0,168.2,89.8,153.0,175.3,87.3,47.3,81.5,58.1,0.50,0.77,-0.27,11.5,26.0,9.17,2.17,28.8
Aston Villa,23,6.0,299.5,395.7,75.7,6494.0,2391.7,100.2,117.7,85.1,135.8,159.0,85.4,59.0,104.3,56.5,1.00,0.62,0.38,7.33,28.2,8.33,2.33,30.8
Brentford,20,6.0,257.7,362.5,71.1,5197.0,2096.0,104.0,123.3,84.3,109.7,137.5,79.8,39.5,84.8,46.6,0.67,0.97,-0.30,7.33,20.0,6.50,1.50,22.8
Brighton,20,5.0,444.4,540.2,82.3,8806.8,2574.2,165.8,184.6,89.8,206.0,231.2,89.1,64.0,103.6,61.8,1.20,0.64,0.56,8.40,23.4,7.80,1.00,28.8
Burnley,17,6.0,244.5,358.0,68.3,5322.3,2219.0,99.0,120.0,82.5,90.2,114.2,79.0,51.2,107.0,47.8,0.67,0.72,-0.05,8.50,23.3,8.00,3.33,22.8
Chelsea,22,6.0,458.7,543.7,84.4,8527.3,2715.3,193.7,213.2,90.9,197.5,221.2,89.3,56.5,88.3,64.0,1.50,1.08,0.42,9.83,29.0,10.2,1.67,31.0
Crystal Palace,18,5.0,367.0,458.8,80.0,7182.0,2323.6,148.2,168.6,87.9,159.4,184.2,86.5,52.2,89.8,58.1,0.60,0.66,-0.06,7.20,20.2,6.00,1.80,25.2
Everton,23,6.0,279.5,377.0,74.1,5626.2,2132.5,109.8,130.2,84.4,117.7,142.5,82.6,43.3,82.5,52.5,1.50,1.05,0.45,10.7,21.2,7.00,1.83,27.8
Leeds United,20,6.0,424.2,517.2,82.0,8516.2,2694.2,162.0,183.5,88.3,193.3,212.7,90.9,64.2,106.3,60.3,0.83,1.03,-0.20,10.8,29.3,9.17,2.67,37.3
Leicester City,21,6.0,443.5,532.8,83.2,8387.0,2571.3,172.8,192.5,89.8,212.0,233.5,90.8,50.7,88.0,57.6,1.00,0.93,0.07,8.83,24.8,8.50,1.00,34.5
Liverpool,21,6.0,483.0,581.5,83.1,9769.8,3226.0,184.5,204.8,90.1,214.5,241.2,88.9,78.3,118.0,66.4,1.67,1.95,-0.28,16.0,45.2,14.7,3.67,49.7
Manchester City,20,6.0,577.3,659.8,87.5,10969.7,3055.7,230.7,249.3,92.5,267.7,291.0,92.0,73.7,102.5,71.9,1.33,1.65,-0.32,14.0,47.2,14.5,2.50,46.7
Manchester Utd,20,6.0,465.3,550.8,84.5,8815.5,2687.7,203.0,225.7,90.0,194.2,219.3,88.5,61.3,86.8,70.6,1.83,1.10,0.73,13.8,38.8,9.50,1.50,39.7
Newcastle Utd,22,6.0,278.7,363.5,76.7,5840.3,2053.5,108.0,124.0,87.1,117.2,137.8,85.0,49.0,89.7,54.6,1.00,1.05,-0.05,10.2,20.3,5.83,2.33,19.3
Norwich City,21,6.0,365.0,449.3,81.2,7268.3,2362.3,141.5,157.8,89.7,159.0,177.8,89.4,57.2,97.2,58.8,0.17,0.60,-0.43,7.17,21.2,6.83,1.83,25.3
Southampton,19,6.0,333.8,433.7,77.0,6161.8,2041.5,145.3,164.0,88.6,145.5,175.5,82.9,37.5,78.8,47.6,0.17,0.87,-0.70,8.67,25.0,6.00,1.17,28.5
Tottenham,21,6.0,341.7,422.0,81.0,6512.0,2115.7,151.5,166.8,90.8,137.7,156.7,87.9,45.2,81.5,55.4,0.33,0.60,-0.27,7.00,26.0,6.50,1.33,26.3
Watford,24,6.0,318.2,406.3,78.3,6998.0,2378.8,99.2,117.3,84.5,152.2,176.8,86.1,63.0,98.3,64.1,0.83,0.83,0.00,9.00,21.3,6.17,1.17,28.8
West Ham,18,6.0,390.3,479.8,81.3,7774.0,2607.3,153.2,171.3,89.4,171.0,195.8,87.3,60.5,96.3,62.8,1.67,1.27,0.40,11.0,29.2,8.67,2.50,35.5
Wolves,18,6.0,395.5,481.8,82.1,8409.7,2620.2,137.5,157.7,87.2,176.5,199.7,88.4,76.2,107.8,70.6,0.17,0.98,-0.82,10.8,34.3,7.50,2.00,35.7
